Underlying,FixedRate,TradeId,Counterparty,Quantity,TradeType
BF9E0,0.89,2887,Bruen Inc,391217.54,IRSwap
UEUQC,0.83,2888,Dooley Inc,152265.63,IRSwap
0KFAX,0.09,2889,"Powlowski, Osinski and Bahringer",308014.96,IRSwap
CDH1J,0.65,2890,Reynolds and Sons,508351.48,IRSwap
WZ2WD,0.36,2891,"Bode, Mertz and Kozey",993275.54,IRSwap
F42AU,0.81,2892,Ferry - Abshire,491246.78,IRSwap
GUNH1,0.36,2893,Bosco Group,859577.13,IRSwap
2JB3L,0.38,2894,"Schowalter, Davis and Reilly",611987.64,IRSwap
HB0W9,0.40,2895,Lowe - Rempel,617880.50,IRSwap
SMI2C,0.57,2896,"Ortiz, Skiles and Spencer",990435.31,IRSwap
AVDKR,0.21,2897,"Barrows, Pollich and Schowalter",57844.11,IRSwap
28YJM,0.58,2898,Kemmer Group,542389.73,IRSwap
VMAXS,0.03,2899,"Willms, Waelchi and Connelly",345799.97,IRSwap
1TF14,0.54,2900,Schroeder and Sons,519976.69,IRSwap
2GPDJ,0.53,2901,"Murphy, Lesch and Jacobs",402806.56,IRSwap
OPE92,0.63,2902,"Yost, Borer and Bernhard",770680.41,IRSwap
01FJH,0.49,2903,"Dibbert, Aufderhar and Mraz",270399.35,IRSwap
QXT6K,0.57,2904,Bradtke and Sons,385362.91,IRSwap
EG95Q,0.64,2905,Kunze LLC,824782.07,IRSwap
DSTFO,0.94,2906,"Konopelski, Beier and O'Connell",346991.22,IRSwap
ZQDXR,0.59,2907,Bashirian Inc,943394.69,IRSwap
OHSVK,0.77,2908,Kunze Inc,746592.31,IRSwap
K1O1C,0.16,2909,Schowalter Group,608825.14,IRSwap
7GAVE,0.72,2910,Rogahn Group,628337.12,IRSwap
YZWNW,0.99,2911,"Effertz, Will and Beatty",795838.70,IRSwap
6MDY1,0.35,2912,"Steuber, Treutel and Nolan",213298.63,IRSwap
LFJ86,0.91,2913,Mohr - McLaughlin,336625.82,IRSwap
UTTL1,0.78,2914,Steuber - Toy,82171.13,IRSwap
W0ZZ9,0.68,2915,Koss - Daniel,62098.47,IRSwap
NCGGD,0.57,2916,Koepp - O'Reilly,534812.25,IRSwap
HZ0KD,0.38,2917,Jones - Quitzon,72972.04,IRSwap
3FJFK,0.45,2918,"Rosenbaum, Vandervort and Gleichner",963653.31,IRSwap
Z6CFI,0.35,2919,Wilkinson - Kutch,398650.91,IRSwap
YR3KW,0.01,2920,Fadel - Krajcik,416952.03,IRSwap
RJEKJ,0.91,2921,Nienow - Turcotte,877853.17,IRSwap
G7OHT,0.65,2922,"Armstrong, Schroeder and Carroll",832199.41,IRSwap
JFU0C,0.33,2923,Stokes Inc,452718.55,IRSwap
1MNFS,0.79,2924,"Lubowitz, Maggio and Bailey",897723.61,IRSwap
CLHJF,0.09,2925,"McKenzie, Johnson and Hauck",411872.17,IRSwap
VF84J,0.57,2926,Hessel and Sons,778115.87,IRSwap
83XEL,0.03,2927,Mayert Group,465719.46,IRSwap
9M442,0.26,2928,Aufderhar Group,231828.57,IRSwap
G7Q46,0.20,2929,Schiller - Upton,860636.90,IRSwap
O0FV5,0.27,2930,Hansen - Fisher,217483.92,IRSwap
12H2I,0.26,2931,Blick - Windler,393364.47,IRSwap
2EO4Z,0.04,2932,Bradtke Inc,284786.62,IRSwap
MPSNJ,0.26,2933,Schultz - Feil,390227.38,IRSwap
MFTIT,0.40,2934,Flatley Group,810465.21,IRSwap
BAY5A,0.34,2935,"Okuneva, Monahan and Von",886401.17,IRSwap
UUKSB,0.29,2936,Swift Inc,900324.05,IRSwap
58OMK,0.16,2937,"Leffler, Fritsch and Bogan",68165.68,IRSwap
7BIAF,0.82,2938,Metz and Sons,707369.08,IRSwap
DUWSL,0.26,2939,Gleason - VonRueden,860145.48,IRSwap
CTT62,0.29,2940,"Kuphal, Carroll and Stehr",133967.28,IRSwap
9S6MI,0.07,2941,Predovic - Denesik,14122.50,IRSwap
9B8PA,0.32,2942,Torphy - Kohler,366380.59,IRSwap
HHKUH,0.69,2943,"Bartoletti, Hand and Johnston",803482.44,IRSwap
KQU32,0.72,2944,Hodkiewicz LLC,951017.53,IRSwap
MNHV1,0.60,2945,Bernier Inc,253142.09,IRSwap
IDR7S,0.30,2946,Terry LLC,395254.72,IRSwap
DIXEO,0.60,2947,Schaefer - Bartoletti,382882.77,IRSwap
QY466,0.82,2948,Mohr - Flatley,602008.16,IRSwap
8N5G6,0.97,2949,"Prohaska, Schultz and Torp",566146.79,IRSwap
C1TV3,0.73,2950,Grimes - Ruecker,97733.03,IRSwap
IM4NJ,0.24,2951,Davis and Sons,224135.05,IRSwap
XY5T4,0.87,2952,Aufderhar - Wiza,299309.99,IRSwap
BHIDX,0.33,2953,"Wisoky, Kutch and Murphy",744642.11,IRSwap
IDN1L,0.50,2954,Bogisich Inc,924652.56,IRSwap
MBG6D,0.89,2955,Upton - Wilderman,371857.01,IRSwap
OSH75,0.63,2956,"Runolfsson, Feest and Weimann",105832.81,IRSwap
XVDEL,0.49,2957,Mosciski Group,319047.43,IRSwap
J94Z0,0.33,2958,"Larkin, Hickle and Gulgowski",58706.94,IRSwap
5TUL6,0.85,2959,"Bartell, Harvey and Langworth",853576.19,IRSwap
11OG3,0.78,2960,Swaniawski - Erdman,289852.46,IRSwap
N14JC,0.21,2961,"Jakubowski, Farrell and Fritsch",869093.79,IRSwap
KT2PK,0.56,2962,Haag and Sons,587113.84,IRSwap
2RI7F,0.55,2963,"Haag, Vandervort and Berge",493600.99,IRSwap
9ZIRP,0.05,2964,"Lowe, Dicki and Murazik",108919.65,IRSwap
PG8LQ,0.53,2965,"Oberbrunner, Haley and Mann",945695.67,IRSwap
6DKAM,0.34,2966,Schneider Inc,317974.30,IRSwap
YGJ37,0.78,2967,"Ondricka, Effertz and Roob",82236.72,IRSwap
X421Y,0.83,2968,"Wilderman, Krajcik and Gislason",750472.51,IRSwap
S2LYH,0.09,2969,"Huels, Harvey and Howell",526378.45,IRSwap
VQZPI,0.53,2970,"Waelchi, Wyman and Bradtke",810431.71,IRSwap
FGF7K,0.38,2971,"Herzog, Stehr and Muller",54691.12,IRSwap
PFOGH,0.25,2972,Stamm Group,422024.24,IRSwap
AN49B,0.07,2973,Russel Inc,553776.02,IRSwap
ZJWQN,0.16,2974,Hammes and Sons,644090.35,IRSwap
U4AD6,0.31,2975,Grady - Leannon,329829.71,IRSwap
GLL2R,0.79,2976,Ferry Inc,273656.30,IRSwap
4RK6G,0.16,2977,Cruickshank Group,498457.61,IRSwap
Q09WP,0.14,2978,Welch - Shanahan,323689.32,IRSwap
R0A06,0.39,2979,Rempel - Bradtke,17347.14,IRSwap
CE073,0.58,2980,"Simonis, Willms and Steuber",828451.72,IRSwap
DEPJG,0.34,2981,Weissnat Inc,774221.91,IRSwap
2VQ3G,0.54,2982,"Hickle, Nader and Johnson",603884.28,IRSwap
YHDM8,0.71,2983,"Beer, Feest and Prosacco",981458.20,IRSwap
38ELK,0.48,2984,MacGyver - Gislason,786154.71,IRSwap
F8AIA,0.10,2985,"Beatty, Feest and Konopelski",329488.85,IRSwap
R2DF7,0.15,2986,Bauch - Buckridge,883101.45,IRSwap
5TZMC,0.50,2987,"Breitenberg, Wyman and Rolfson",71180.33,IRSwap
8NJ93,0.09,2988,"Beier, Gaylord and Adams",178.25,IRSwap
WB605,0.37,2989,"Morar, Yost and Leannon",147333.60,IRSwap
P9AEB,0.90,2990,Turcotte Group,248944.29,IRSwap
VRUQW,0.94,2991,"McLaughlin, Roberts and Wunsch",861278.44,IRSwap
RJ0WN,0.46,2992,Robel Inc,371248.03,IRSwap
C2RIE,0.25,2993,Heathcote LLC,732662.50,IRSwap
8JA1J,0.33,2994,"Schaden, Donnelly and Adams",21944.55,IRSwap
5SVYP,0.28,2995,Gaylord and Sons,274060.76,IRSwap
888IT,0.02,2996,O'Kon - Kessler,609088.87,IRSwap
9J5CI,0.01,2997,Hauck LLC,77959.45,IRSwap
33G6A,0.87,2998,"Torphy, Buckridge and Cartwright",49385.83,IRSwap
4RER0,0.29,2999,Pfannerstill - Witting,371570.78,IRSwap
LC0MM,0.53,3000,"Erdman, Larson and Aufderhar",944069.60,IRSwap
JBK55,0.79,3001,Pouros - Lynch,605795.98,IRSwap
NOP5S,0.75,3002,Lehner Inc,741559.67,IRSwap
OL33H,0.74,3003,Langosh - Reilly,942278.88,IRSwap
5ZERL,0.44,3004,Mayert - O'Conner,345244.93,IRSwap
ODAAW,0.64,3005,"Morar, Swift and Kutch",463838.24,IRSwap
YMXX7,0.45,3006,"Simonis, Terry and Wilderman",913915.94,IRSwap
VSLN9,0.94,3007,Jacobson - Hauck,736641.98,IRSwap
M8HZ8,0.82,3008,Heathcote - Von,962322.86,IRSwap
RE80S,0.83,3009,"McKenzie, Botsford and McLaughlin",747601.96,IRSwap
G5QTK,0.69,3010,Fahey - Hoppe,948905.90,IRSwap
HYZ9Q,0.14,3011,Murphy - Prosacco,307226.98,IRSwap
BQZ3E,0.36,3012,"Ratke, Huel and Nolan",75408.27,IRSwap
4J052,0.75,3013,Kreiger - Bruen,914167.14,IRSwap
YEA9T,0.40,3014,Ortiz Inc,174222.39,IRSwap
TQV5F,0.74,3015,"Grady, Olson and Strosin",928528.90,IRSwap
LEDFZ,0.11,3016,"Cormier, Harber and Abshire",152752.24,IRSwap
G4WGQ,0.29,3017,"Howe, Schamberger and Bayer",256061.51,IRSwap
8ZAS5,0.00,3018,Jacobi and Sons,815785.05,IRSwap
T6TSW,0.90,3019,Ankunding - Koepp,518885.01,IRSwap
92VK9,0.76,3020,Kautzer - Stamm,600551.04,IRSwap
5XNCC,0.41,3021,Wilkinson Inc,414584.59,IRSwap
1DBIG,0.30,3022,Nienow Group,108302.08,IRSwap
WKJQJ,0.16,3023,Buckridge LLC,832123.26,IRSwap
RO01D,0.88,3024,Quitzon LLC,382034.24,IRSwap
TQLQK,0.90,3025,Kovacek - Kling,483205.62,IRSwap
4D6IK,0.38,3026,"Herzog, Champlin and Witting",449115.99,IRSwap
4GCCD,0.28,3027,"Schmeler, Dibbert and Haag",371432.28,IRSwap
N305Z,0.81,3028,Marks Group,838792.81,IRSwap
KJXMB,0.82,3029,Nicolas and Sons,743933.69,IRSwap
O96FM,0.13,3030,Schuster - Kuvalis,604564.95,IRSwap
7K6LG,0.29,3031,Erdman - Lesch,475828.02,IRSwap
Q5SKS,0.57,3032,Heidenreich LLC,562863.20,IRSwap
QB265,0.40,3033,Rempel - Batz,546664.40,IRSwap
Y3XJ0,0.37,3034,"Marvin, Lemke and Stokes",427691.49,IRSwap
69XVI,0.49,3035,Corwin Inc,662288.54,IRSwap
N6ZQV,0.49,3036,O'Hara - Bednar,612919.57,IRSwap
TP4R2,0.85,3037,"Kilback, Blick and Hoppe",586403.32,IRSwap
K0VJ2,0.13,3038,Russel Inc,199318.65,IRSwap
XH8RS,0.11,3039,O'Keefe Group,294914.39,IRSwap
V2M2D,0.55,3040,O'Connell LLC,368179.88,IRSwap
VUE25,0.10,3041,"Casper, Klein and Nienow",587754.78,IRSwap
S63NC,0.46,3042,Schumm and Sons,694728.55,IRSwap
D8UBI,0.40,3043,Wiza - Welch,654937.78,IRSwap
79P1M,0.83,3044,"Dach, Larkin and Hand",178689.03,IRSwap
5O3WJ,0.41,3045,"Murray, Anderson and Abbott",832214.28,IRSwap
IZ7M0,0.09,3046,Botsford and Sons,151162.73,IRSwap
A1ILW,0.38,3047,Roob - Grimes,22818.71,IRSwap
CXNJ2,0.16,3048,Raynor - Murazik,673142.36,IRSwap
4FV0P,0.29,3049,Medhurst Group,396290.82,IRSwap
4VPZJ,0.12,3050,Jacobson - Monahan,739697.68,IRSwap
SBGRT,0.57,3051,Kutch Inc,156786.50,IRSwap
UZWWV,0.88,3052,Olson LLC,850029.35,IRSwap
V73VK,0.47,3053,Kuhn Group,606956.95,IRSwap
0QKPL,0.82,3054,Padberg Inc,960475.94,IRSwap
UURV4,0.98,3055,"Carroll, Erdman and Carter",959615.48,IRSwap
LE9K7,0.58,3056,"Bosco, O'Connell and Windler",668798.59,IRSwap
NLU4E,0.19,3057,Hayes and Sons,653853.38,IRSwap
9RN1D,0.35,3058,Bernhard Group,40875.29,IRSwap
LDZC4,0.18,3059,Keebler and Sons,396021.60,IRSwap
WVRB6,0.25,3060,Bashirian - Moore,369962.17,IRSwap
0PXEU,0.76,3061,"Rolfson, Rempel and Schaden",527720.12,IRSwap
SUY29,0.60,3062,Dickinson Group,574829.40,IRSwap
9GK4E,0.01,3063,Abshire - Farrell,763701.91,IRSwap
9PPVK,0.65,3064,Stark - Christiansen,433522.30,IRSwap
7URS4,0.03,3065,Wehner and Sons,416641.92,IRSwap
QI09K,0.16,3066,"Feil, VonRueden and O'Connell",410603.51,IRSwap
2FB25,0.10,3067,"Altenwerth, Senger and Johnson",378167.95,IRSwap
PTKEP,0.76,3068,Murazik - Ledner,567219.83,IRSwap
XH0I7,0.68,3069,Herzog Inc,105478.28,IRSwap
XGZTS,0.33,3070,Ziemann - Kuhn,286943.74,IRSwap
QA4U1,0.69,3071,Beahan - Torphy,701431.44,IRSwap
SNLBG,0.58,3072,Stoltenberg - Streich,394565.77,IRSwap
II48N,0.25,3073,Schowalter - Torp,461162.74,IRSwap
YHIDN,0.36,3074,"Robel, Murray and Hilpert",288463.07,IRSwap
Q43H9,0.86,3075,Kshlerin LLC,224845.82,IRSwap
5F775,0.89,3076,"Hodkiewicz, Donnelly and Ward",667645.62,IRSwap
8H3U6,0.09,3077,Satterfield Group,718210.33,IRSwap
D8RD1,0.74,3078,"Schneider, Fahey and Ernser",328471.47,IRSwap
FFMS1,0.31,3079,Huel - Casper,363696.15,IRSwap
PMIIM,0.99,3080,Kuhlman and Sons,975277.78,IRSwap
KZPCS,0.19,3081,Boyle - Runolfsson,754021.45,IRSwap
UDRCS,0.05,3082,Shields - Brown,152945.46,IRSwap
RBR8M,0.75,3083,Bayer - Christiansen,779370.31,IRSwap
9MDSG,0.74,3084,"Gleichner, Rolfson and Becker",73272.56,IRSwap
CDB4B,0.87,3085,Abshire Group,879709.02,IRSwap
MYZZ9,0.21,3086,Prosacco LLC,503561.86,IRSwap
6222K,0.76,3087,Rath - Barrows,458760.49,IRSwap
719WF,0.94,3088,Maggio - Hauck,316796.71,IRSwap
KK6JG,0.29,3089,Bruen - Hahn,887534.69,IRSwap
9KZEP,0.26,3090,Hoppe - Leuschke,245825.28,IRSwap
HLD9A,0.58,3091,Feest LLC,554208.64,IRSwap
CE5VL,0.90,3092,"Bogisich, Lueilwitz and Halvorson",771022.15,IRSwap
0031M,0.06,3093,Muller - Graham,121805.88,IRSwap
KREZ7,0.90,3094,"Dibbert, Cummings and Mosciski",209224.67,IRSwap
T7HX6,0.84,3095,Swaniawski LLC,551914.58,IRSwap
L9FHK,0.27,3096,Brekke - Herzog,815033.57,IRSwap
WDPKS,0.64,3097,O'Reilly LLC,830188.94,IRSwap
ROK6T,0.62,3098,"Trantow, Jakubowski and Zulauf",255377.08,IRSwap
2TSLA,0.33,3099,Konopelski Inc,348762.90,IRSwap
CRNFI,0.91,3100,"Keebler, Walter and Parker",585611.43,IRSwap
